streamer,twitch_profile,partner,language
moman,https://www.twitch.tv/moman,yes,French
menostrece,https://www.twitch.tv/menostrece,yes,Spanish
twitchsports,https://www.twitch.tv/twitchsports,yes,English
lospollostv,https://www.twitch.tv/lospollostv,yes,English
kennzy,https://www.twitch.tv/kennzy,yes,Portuguese
vicens,https://www.twitch.tv/vicens,yes,Spanish
velox,https://www.twitch.tv/velox,yes,Italian
staryuuki,https://www.twitch.tv/staryuuki,yes,Spanish
h2p_gucio,https://www.twitch.tv/h2p_gucio,yes,Polish
verni_shavermy,https://www.twitch.tv/verni_shavermy,yes,Russian
failverde,https://www.twitch.tv/failverde,yes,Chinese
loustreams,https://www.twitch.tv/loustreams,yes,English
voyboy,https://www.twitch.tv/voyboy,yes,English
strogo,https://www.twitch.tv/strogo,yes,Russian
laraloft,https://www.twitch.tv/laraloft,yes,German
izakooo,https://www.twitch.tv/izakooo,yes,Polish
trick2g,https://www.twitch.tv/trick2g,yes,English
matteohs,https://www.twitch.tv/matteohs,yes,Italian
loud_babi,https://www.twitch.tv/loud_babi,yes,Portuguese
alexby11,https://www.twitch.tv/alexby11,yes,Spanish
xiuder_,https://www.twitch.tv/xiuder_,yes,Italian
rocky_,https://www.twitch.tv/rocky_,yes,French
onscreen,https://www.twitch.tv/onscreen,yes,English
esacarry,https://www.twitch.tv/esacarry,yes,Portuguese
professorbroman,https://www.twitch.tv/professorbroman,yes,English
chilledchaos,https://www.twitch.tv/chilledchaos,yes,English
quarterjade,https://www.twitch.tv/quarterjade,yes,English
punz,https://www.twitch.tv/punz,yes,English
itsryanhiga,https://www.twitch.tv/itsryanhiga,no,English
pago3,https://www.twitch.tv/pago3,yes,Polish
giantwaffle,https://www.twitch.tv/giantwaffle,yes,English
dota2ruhub2,https://www.twitch.tv/dota2ruhub2,yes,Russian
nokduro,https://www.twitch.tv/nokduro,yes,Korean
peereira7,https://www.twitch.tv/peereira7,yes,Spanish
loeya,https://www.twitch.tv/loeya,yes,English
kristoferyee,https://www.twitch.tv/kristoferyee,yes,English
averagejoewo,https://www.twitch.tv/averagejoewo,yes,English
mch_agg,https://www.twitch.tv/mch_agg,yes,Portuguese
qq7925168,https://www.twitch.tv/qq7925168,yes,Chinese
doigby,https://www.twitch.tv/doigby,yes,French
ixxyjyxxi,https://www.twitch.tv/ixxyjyxxi,yes,Arabic
philza,https://www.twitch.tv/philza,yes,English
treyanastasio,https://www.twitch.tv/treyanastasio,no,English
yassuo,https://www.twitch.tv/yassuo,yes,English
jinu6734,https://www.twitch.tv/jinu6734,yes,Korean
rakanoolive,https://www.twitch.tv/rakanoolive,yes,Arabic
staysafetv,https://www.twitch.tv/staysafetv,yes,English
smurfdomuca,https://www.twitch.tv/smurfdomuca,yes,Portuguese
im_dontai,https://www.twitch.tv/im_dontai,yes,English
jessirocks,https://www.twitch.tv/jessirocks,yes,German
robcdee,https://www.twitch.tv/robcdee,yes,English
miniminter,https://www.twitch.tv/miniminter,yes,English
zerkaa,https://www.twitch.tv/zerkaa,yes,English
streamiebr,https://www.twitch.tv/streamiebr,yes,Portuguese
pink_sparkles,https://www.twitch.tv/pink_sparkles,yes,English
naseongkim,https://www.twitch.tv/naseongkim,yes,Korean
kaydop,https://www.twitch.tv/kaydop,yes,French
chicofilo,https://www.twitch.tv/chicofilo,yes,English
elojoninja,https://www.twitch.tv/elojoninja,yes,Spanish
kyo1984123,https://www.twitch.tv/kyo1984123,yes,Chinese
icebergdoto,https://www.twitch.tv/icebergdoto,yes,Russian
mrtlexify,https://www.twitch.tv/mrtlexify,yes,English
runthefutmarket,https://www.twitch.tv/runthefutmarket,yes,English
welovegames,https://www.twitch.tv/welovegames,yes,Russian
sweet_anita,https://www.twitch.tv/sweet_anita,yes,English
zedef,https://www.twitch.tv/zedef,yes,Italian
r6esportsbr,https://www.twitch.tv/r6esportsbr,yes,Portuguese
thomefn,https://www.twitch.tv/thomefn,yes,Portuguese
rifftrax,https://www.twitch.tv/rifftrax,yes,English
joueur_du_grenier,https://www.twitch.tv/joueur_du_grenier,yes,French
danimilkman,https://www.twitch.tv/danimilkman,no,English
gensyxa,https://www.twitch.tv/gensyxa,yes,Russian
bmkibler,https://www.twitch.tv/bmkibler,yes,English
solaaaa,https://www.twitch.tv/solaaaa,yes,German
desertheartsrecords,https://www.twitch.tv/desertheartsrecords,yes,English
yulihong22,https://www.twitch.tv/yulihong22,yes,Chinese
burkeblack,https://www.twitch.tv/burkeblack,yes,English
repazmois,https://www.twitch.tv/repazmois,yes,German
dyrus,https://www.twitch.tv/dyrus,yes,English
lebouseuh,https://www.twitch.tv/lebouseuh,yes,French
wearethevr,https://www.twitch.tv/wearethevr,yes,Hungarian
tamoligado1,https://www.twitch.tv/tamoligado1,no,Portuguese
flowpodcast,https://www.twitch.tv/flowpodcast,yes,Portuguese
darkarcompany,https://www.twitch.tv/darkarcompany,yes,Spanish
bobbypoffgaming,https://www.twitch.tv/bobbypoffgaming,yes,English
thebausffs,https://www.twitch.tv/thebausffs,yes,English
luckraok,https://www.twitch.tv/luckraok,yes,Spanish
gamesdonequick,https://www.twitch.tv/gamesdonequick,yes,English
crowder,https://www.twitch.tv/crowder,yes,English
sam1268,https://www.twitch.tv/sam1268,yes,Chinese
ariasaki,https://www.twitch.tv/ariasaki,yes,English
falcodrin,https://www.twitch.tv/falcodrin,no,English
mathil1,https://www.twitch.tv/mathil1,yes,English
skipnho,https://www.twitch.tv/skipnho,yes,Portuguese
ratoborrachudo,https://www.twitch.tv/ratoborrachudo,yes,Portuguese
th3antonio,https://www.twitch.tv/th3antonio,yes,Spanish
xargon0731,https://www.twitch.tv/xargon0731,yes,Chinese
qttsix,https://www.twitch.tv/qttsix,yes,Chinese
ovotz,https://www.twitch.tv/ovotz,yes,Portuguese
rumathra,https://www.twitch.tv/rumathra,yes,German
battlestategames,https://www.twitch.tv/battlestategames,yes,Russian
mithrain,https://www.twitch.tv/mithrain,yes,Turkish
quattroace,https://www.twitch.tv/quattroace,yes,Russian
doublelift,https://www.twitch.tv/doublelift,yes,English
